AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3010,Aircraft Mechanics and Service Technicians,broad,60,24.4,,,0.01,~,35.75,74350,6.4,23.54,36.49,38.36,40.75,41.57,48960,75900,79790,84750,86470,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3011,Aircraft Mechanics and Service Technicians,detailed,60,24.4,,,0.01,~,35.75,74350,6.4,23.54,36.49,38.36,40.75,41.57,48960,75900,79790,84750,86470,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3020,Automotive Technicians and Repairers,broad,840,11.3,,,0.17,2,26.08,54240,2.6,17.86,20.95,23.55,30.04,37.17,37140,43580,48980,62480,77310,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3021,Automotive Body and Related Repairers,detailed,50,19.8,,,0.01,~,26.76,55660,2.9,21.42,22.29,25.63,27.98,33.97,44550,46370,53310,58190,70660,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3023,Automotive Service Technicians and Mechanics,detailed,790,11.9,,,0.16,1,26.04,54150,2.8,17.83,20.58,23.54,30.04,37.17,37080,42810,48970,62490,77310,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,broad,12560,2.8,,,2.5,15,30.34,63100,0.9,21.53,24.14,29.49,35.5,39.47,44790,50220,61340,73830,82090,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,12560,2.8,,,2.5,15,30.34,63100,0.9,21.53,24.14,29.49,35.5,39.47,44790,50220,61340,73830,82090,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,broad,1990,8,,,0.4,3,30.81,64090,2.7,19.33,24.06,29.27,36.05,44.3,40210,50040,60870,74990,92130,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,1990,8,,,0.4,3,30.81,64090,2.7,19.33,24.06,29.27,36.05,44.3,40210,50040,60870,74990,92130,,
99,U.S.,1,US,562000,Waste Management and Remediation Services,3-digit,5,49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",broad,150,11.6,,,0.03,~,22.81,47430,2.4,18.35,20.37,22.39,24.48,27.5,38170,42360,46560,50910,57190,,
